DrawNo,DrawDate,1stPrizeNo,2ndPrizeNo,3rdPrizeNo
066794,19940102,65636,34314,46252
066894,19940105,73098,01356,22978
066994,19940106,58159,85180,03377
067094,19940109,70512,78990,08432
067194,19940112,70977,82266,74098
067294,19940113,04200,23982,75027
067394,19940116,91817,09880,15119
067494,19940119,81652,78268,31812
067594,19940120,22327,00364,29381
067694,19940123,91313,76647,95244
067794,19940126,95122,24659,67452
067894,19940127,15379,44917,22145
067994,19940130,50331,02691,17252
068094,19940202,68272,33650,89334
068194,19940203,12499,64096,16764
068294,19940206,11155,84497,44927
068394,19940209,95599,49342,67527
068494,19940210,18272,51555,27530
068594,19940213,65609,67448,42677
068694,19940216,27755,22394,34712
068794,19940217,20081,78975,12810
068894,19940220,33728,96672,49231
068994,19940223,29439,57139,74915
069094,19940224,84252,18217,81508
069194,19940227,73075,34866,24149
069294,19940302,56796,52742,03628
069394,19940303,33394,80502,38154
069494,19940306,34878,82260,01108
069594,19940309,09654,37471,12896
069694,19940310,13398,54141,13169
069794,19940313,28050,68510,59703
069894,19940316,14534,84822,33857
069994,19940317,50244,28296,78665
070094,19940320,93440,93724,64464
070194,19940323,05303,26135,58973
070294,19940324,48301,61424,56520
070394,19940327,03732,45576,00226
070494,19940330,38526,61168,36873
070594,19940331,32286,92397,45771
070694,19940403,81954,68068,55413
070794,19940406,26409,74186,15232
070894,19940407,23628,28847,30741
070994,19940410,99063,34274,68193
071094,19940413,73195,22454,65802
071194,19940414,90108,44073,41221
071294,19940417,54278,98953,21201
071394,19940420,44839,16200,46243
071494,19940421,56097,12435,05622
071594,19940424,43914,20430,57398
071694,19940427,65535,01535,02935
071794,19940428,48566,95828,24895
071894,19940501,51999,55174,20636
071994,19940504,42324,36120,38789
072094,19940505,73838,42767,15040
072194,19940508,98551,01314,75092
072294,19940511,80138,45991,99941
072394,19940512,71161,28050,02076
072494,19940515,59921,17998,97697
072594,19940518,40103,71178,75361
072694,19940519,79455,04821,11859
072794,19940522,29687,36011,80493
072894,19940525,82108,74781,60418
072994,19940526,17023,74689,15594
073094,19940529,52790,29524,70311
073194,19940601,59140,67673,51162
073294,19940602,79825,71473,37522
073394,19940605,30743,58599,73485
073494,19940608,18833,68741,40133
073594,19940609,52865,57913,70043
073694,19940612,14908,02742,43155
073794,19940615,64310,66412,45208
073894,19940616,59999,25333,00634
073994,19940619,44144,99360,14189
074094,19940622,56326,51104,30788
074194,19940623,39003,65171,46525
074294,19940626,53426,47920,99841
074394,19940629,95931,97321,11849
074494,19940630,99660,60910,06478
074594,19940703,07268,64583,76436
074694,19940706,37349,01406,97435
074794,19940707,07567,03732,38835
074894,19940710,11527,03012,52184
074994,19940713,06580,39530,41289
075094,19940714,31287,05070,77984
075194,19940717,58508,73031,49818
075294,19940720,39665,83763,02046
075394,19940721,97244,27090,02224
075494,19940724,64200,36303,99680
075594,19940727,24317,03114,38326
075694,19940728,78704,45505,37637
075794,19940731,98813,58146,36880
075894,19940803,83864,57082,80181
075994,19940804,51198,41281,66751
076094,19940807,83095,27680,08229
076194,19940810,71106,85889,86916
076294,19940811,50496,35352,37155
076394,19940814,09644,00420,07611
076494,19940817,72980,49695,16789
076594,19940818,57161,05493,70268
076694,19940821,95859,36234,42741
076794,19940824,09029,16113,53572
076894,19940825,78462,97583,18524
076994,19940828,92427,10864,96409
077094,19940831,26190,82038,80779
077194,19940901,15191,42598,39883
077294,19940904,86273,01307,47406
077394,19940907,67911,98401,83382
077494,19940908,12680,96621,02199
077594,19940911,61482,83111,87716
077694,19940914,17858,93694,78234
077794,19940915,42560,48151,79111
077894,19940918,91090,21599,32450
077994,19940921,07659,32256,15705
078094,19940922,61146,51699,23319
078194,19940925,86463,61136,98880
078294,19940928,08786,38537,38475
078394,19940929,25747,02508,65121
078494,19941001,93575,59964,42031
078594,19941002,25210,23954,21352
078694,19941005,52385,35376,98957
078794,19941008,39769,00708,03319
078894,19941009,72387,69512,38450
078994,19941012,19829,47178,95023
